"Code", ""Wahl"/"Pflicht"", "Lernort", "Kriterium", "Niveau" 
"a1.1" , "Pflicht", "BE", "Sie identifizieren die nötigen Schnittstellen.", "LN 4"
"a1.2", "Pflicht", "BE", "Sie bestimmen den Kostenrahmen.", "LN 4"
"a1.3", "Pflicht", "BFS", "Sie erstellen Kostenzusammenstellungen.", "LN 3"
"a1.4", "Pflicht", "BE", "Sie identifizieren die einzuhaltenden Normen.", "LN 3"
"a1.5", "Pflicht", "BE", "Sie identifizieren das Einsatzgebiet.", "LN 3"
"a1.6", "Pflicht", "BFS", "Sie wählen geeignete Werkstoffe passend zur Einsatzumgebung und Zweck aus.", "LN 2"
"a1.7", "Pflicht", "BE", "Sie erstellen aus den gesammelten Informationen das Pflichtenheft.", "LN 3"
"a1.8", "Pflicht", "BFS", "Sie erläutern die Unterschiede zwischen Lasten- und Pflichtenheft.", "LN 2"
"a1.9", "Pflicht", "BFS", "Sie formulieren technische Produkteigenschaften zielgruppengerecht.", "LN 2"
"a1.10", "Pflicht", "BFS", "Sie erstellen beispielhafte Pflichtenhefte.", "LN 2"
"a1.11", "Pflicht", "BE", "Sie identifizieren Mess- und Prüfkriterien.", "LN 4"
"a1.12", "Pflicht", "BE", "Sie stellen die Kundenanforderungen graphisch dar.", "LN 3"
"a1.13", "Pflicht", "BFS", "Sie verwenden verschiedene graphische Darstellungsarten zur Darstellung von Kundenanforderungen.", "LN 3"
"a1.14", "Pflicht", "BE", "Sie dokumentieren und archivieren ihre Arbeit nachvollziehbar mit festgelegten Hilfsmitteln nach betrieblichen Vorgaben.", "LN 2"
"a1.15", "Pflicht", "BE", "Sie dokumentieren und archivieren ihre Arbeit nachvollziehbar laufend und lückenlos mit situativ geeigneten Hilfsmitteln unter Einhaltung betrieblicher Vorgaben.", "LN 3"
"a1.16", "Pflicht", "BFS", "Sie dokumentieren und archivieren ihre Arbeit nachvollziehbar mit festgelegten Hilfsmitteln nach Vorgaben.", "LN 2"
"a1.17", "Pflicht", "BFS", "Sie dokumentieren und archivieren ihre Arbeit laufend und lückenlos mit situativ geeigneten Hilfsmitteln unter Einhaltung der Vorgaben.", "LN 3"
"a1.18", "Pflicht", "BFS", "Sie verwenden geeignete Werkzeuge zur Dokumentation ihrer Arbeit.", "LN 3"
"a1.19", "Pflicht", "BFS", "Sie dokumentieren Informationen zu ihrer Arbeit.", "LN 3"
"a1.20", "Pflicht", "üK", "Sie dokumentieren und archivieren ihre Arbeit beispielhaft nachvollziehbar mit festgelegten Hilfsmitteln nach Vorgaben.", "LN 2"
"a1.21", "Pflicht", "BE", "Sie interpretieren definierte betriebliche Prozesse und arbeiten diese korrekt ab.", "LN 2"
"a1.22", "Pflicht", "BE", "Sie erfassen relevante Informationen für neue betriebliche Prozesse.", "LN 3"
"a1.23", "Pflicht", "BE", "Sie gestalten betriebliche Prozessabläufe und erstellen geeignete Prozessdokumente unter Einhaltung der betrieblichen Vorgaben.", "LN 4"
"a1.24", "Pflicht", "BFS", "Sie interpretieren definierte Prozesse.", "LN 2"
"a1.25", "Pflicht", "BFS", "Sie erfassen relevante Informationen für neue Prozesse.", "LN 3"
"a1.26", "Pflicht", "BFS", "Sie gestalten Prozessabläufe und erstellen geeignete Prozessdokumente.", "LN 4"
"a1.27", "Pflicht", "üK", "Sie interpretieren ausgewählte definierte Prozesse und arbeiten diese korrekt ab.", "LN 2"
"a1.28", "Pflicht", "üK", "Sie gestalten beispielhafte Prozessabläufe und erstellen geeignete Prozessdokumente.", "LN 3"
"a1.29", "Pflicht", "BE", "Sie setzen technische Normen und Richtlinien in der Planung anwendungsspezifisch ein.", "LN 3"
"a1.31", "Pflicht", "BE", "Sie setzen technische Normen und Richtlinien im Handeln anwendungsspezifisch um.", "LN 3"
"a1.32", "Pflicht", "BFS", "Sie interpretieren technische Normen und Richtlinien anwendungsspezifisch.", "LN 3"
"a1.33", "Pflicht", "üK", "Sie setzen technische Normen und Richtlinien in der Planung anwendungsspezifisch ein.", "LN 2"
"a1.34", "Pflicht", "üK", "Sie setzen technische Normen und Richtlinien im Handeln anwendungsspezifisch um.", "LN 1"
"a1.35", "Pflicht", "BE", "Sie setzen Informationen aus Normen und Richtlinien in technischen Dokumentationen um.", "LN 3"
"a1.36", "Pflicht", "BFS", "Sie erstellen technische Dokumentationen.", "LN 3"
"a1.37", "Pflicht", "BFS", "Sie interpretieren technische Dokumentationen.", "LN 3"
"a1.38", "Pflicht", "üK", "Sie setzen Informationen aus Normen und Richtlinien in technischen Dokumentationen um.", "LN 1"
"a2.1", "Pflicht", "BE", "Sie konzipieren unter Anwendung geeigneter Methoden Lösungsvarianten für Produkte.", "LN 5"
"a2.2", "Pflicht", "BFS", "Sie unterscheiden Methoden zur Lösungssuche und wenden diese an beispielhaften Situationen an.", "LN 3"
"a2.3", "Pflicht", "BE", "Sie dokumentieren die Lösungssuche.", "LN 3"
"a2.4", "Pflicht", "BFS", "Sie erstellen für unterschiedliche Methoden zur Lösungssuche eine entsprechende technische Dokumentation.", "LN 2"
"a2.5", "Pflicht", "BE", "Sie stellen Lösungsansätze graphisch dar.", "LN 3"
"a2.6", "Pflicht", "BFS", "Sie setzen verschiedene graphischen Darstellungsarten an beispielhaften Lösungsansätzen ein.", "LN 2"
"a2.7", "Pflicht", "BE", "Sie unterteilen Lösungsansätze in sinnvolle Einheiten und definieren die Schnittstellen.", "LN 4"
"a2.8", "Pflicht", "üK", "Sie definieren anhand vorgegebener Lösungsansätze Funktionsblöcke.", "LN 2"
"a2.9", "Pflicht", "BE", "Sie suchen typische oder bestehende Lösungsansätze zur Lösung von Teilproblemen.", "LN 5"
"a2.10", "Pflicht", "üK", "Sie interpretieren typische Lösungsansätze und setzen diese zu einer Gesamtlösung zusammen.", "LN 2"
"a2.11", "Pflicht", "BE", "Sie recherchieren in der einschlägigen Literatur zu Hard- und Software nach möglichen Lösungsansätzen.", "LN 3"
"a2.12", "Pflicht", "BE", "Sie bewerten die ökologische Wertigkeit der einzelnen Lösungen.", "LN 4"
"a2.13", "Pflicht", "BFS", "Sie beurteilen ökologische Ansätze, sowie Technologien zur Ökologie und deren Anwendungsgebiete.", "LN 3"
"a2.14", "Pflicht", "BE", "Sie setzen bei der Lösungsauswahl geeignete Methoden zur Entscheidungsfindung ein.", "LN 5"
"a2.15", "Pflicht", "BFS", "Sie unterscheiden Methoden zur Entscheidungsfindung und wenden diese an beispielhaften Situationen an.", "LN 3"
"a2.16", "Pflicht", "BE", "Sie dokumentieren die Entscheidungsfindung.", "LN 3"
"a2.17", "Pflicht", "BFS", "Sie erstellen für unterschiedliche Methoden zur Entscheidungsfindung eine entsprechende technische Dokumentation.", "LN 2"
"a2.18", "Pflicht", "BFS", "Sie planen ihre Arbeit unter Einbezug der Werkstoff-, Fertigungs- und Maschinentechnik und führen sie aus.", "LN 3"
"a2.19", "Pflicht", "BFS", "Sie planen ihre Arbeit unter Einbezug naturwissenschaftlicher Aspekte und führen sie aus.", "LN 3"
"a2.20", "Pflicht", "BFS", "Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.", "LN 3"
"a3.1", "Pflicht", "BE", "Sie planen gemäss den Anforderungen Versuchsanordnungen.", "LN 5"
"a3.2", "Pflicht", "BE", "Sie bauen Versuchsanordnungen auf.", "LN 3"
"a3.3", "Pflicht", "üK", "Sie bauen mit einfachen handwerklichen Mitteln Versuchsaufbauten auf.", "LN 2"
"a3.4", "Pflicht", "BE", "Sie überprüfen mit den Versuchsaufbauten die Machbarkeit.", "LN 4"
"a3.5", "Pflicht", "BE", "Sie dokumentieren die Messergebnisse aus den Versuchen.", "LN 3"
"a3.6", "Pflicht", "BFS", "Sie dokumentieren und archivieren ihre Arbeit laufend und lückenlos mit situativ geeigneten Hilfsmitteln unter Einhaltung der Vorgaben.", "LN 3"
"a3.7", "Pflicht", "BFS", "Sie verwenden geeignete Werkzeuge zur Dokumentation ihrer Arbeit.", "LN 3"
"a3.8", "Pflicht", "BE", "Sie schätzen die Erfüllbarkeit der Anforderungen durch die erstellten Konzepte ab.", "LN 4"
"a3.9", "Pflicht", "BE", "Sie recherchieren in der einschlägigen Literatur zu Hard- und Software nach möglichen Lösungsansätzen.", "LN 4"
"a3.10", "Pflicht", "BFS", "Sie interpretieren technische Dokumentationen in englischer Sprache.", "LN 2"
"a3.11", "Pflicht", "BE", "Sie entscheiden zusammen mit den Verantwortlichen auf Basis der Messergebnisse über das weitere Vorgehen.", "LN 4"
"a3.12", "Pflicht", "BE", "Sie setzen Standardapplikationen und betriebliche Software in ihrer Arbeit effektiv und effizient ein.", "LN 3"
"a3.13", "Pflicht", "BE", "Sie erfassen, verarbeiten und visualisieren Daten und stellen diese zur Verfügung.", "LN 3"
"a3.14", "Pflicht", "BFS", "Sie beschaffen und strukturieren Daten aus unterschiedlichen Quellen.", "LN 3"
"a3.15", "Pflicht", "BFS", "Sie visualisieren Daten.", "LN 3"
"a3.16", "Pflicht", "üK", "Sie erfassen, verarbeiten und visualisieren Daten und stellen diese zur Verfügung.", "LN 2"
"a3.17", "Pflicht", "üK", "Sie setzen ausgewählte Standardapplikationen und industrieübliche Software effektiv und effizient ein.", "LN 2"
"a3.18", "Pflicht", "BE", "Sie nutzen vernetzte Systeme im betrieblichen Alltag effizient. Sie gestalten ihr Handeln jederzeit optimal und sicher.", "LN 3"
"a3.19", "Pflicht", "BFS", "Sie vernetzen Komponenten zu Systemen, um Arbeitsprozesse zu unterstützen und kontinuierlich zu verbessern.", "LN 4"
"a3.20", "Pflicht", "BFS", "Sie setzen einzelne Komponenten entsprechend ihrer Funktion ein, und konstruieren digitale Netzwerke.", "LN 4"
"a3.21", "Pflicht", "BFS", "Sie erläutern Vor- und Nachteile von vernetzten Komponenten.", "LN 3"
"a3.22", "Pflicht", "üK", "Sie nutzen vernetzte Systeme bei ihren Tätigkeiten effizient. Sie gestalten ihr Handeln jederzeit optimal und sicher.", "LN 2"
"a3.23", "Pflicht", "BE", "Sie erkennen Cyberbedrohungen, die Schaden an der digitalen Infrastruktur anrichten, und setzen Massnahmen zur Schadensbegrenzung um.", "LN 4"
"a3.24", "Pflicht", "BE", "Sie setzen Massnahmen zur Verminderung und Verhinderung von Gefahren bei der Benutzung von digitalen Arbeitsmitteln um.", "LN 3"
"a3.25", "Pflicht", "BFS", "Sie schützen sich und ihr Umfeld gegen Cyberbedrohungen.", "LN 3"
"a3.26", "Pflicht", "BFS", "Sie schätzen mögliche Auswirkungen von Cyberbedrohungen und Sicherheitslücken ab.", "LN 3"
"a3.27", "Pflicht", "BFS", "Sie identifizieren aktuelle Cyberbedrohungen und Gefahren.", "LN 2"
"a3.28", "Pflicht", "üK", "Sie setzen Massnahmen zur Verminderung und Verhinderung von Gefahren bei der Benutzung von digitalen Arbeitsmitteln um.", "LN 2"
"b1.1", "Pflicht", "BE", "Sie evaluieren auf Grund von Anforderungen elektronische Komponenten.", "LN 4"
"b1.2", "Pflicht", "BFS", "Sie dimensionieren elektronische Komponenten.", "LN 4"
"b1.3", "Pflicht", "üK", "Sie messen die Eigenschaften der elektronischen Komponenten.", "LN 2"
"b1.4", "Pflicht", "üK", "Sie entnehmen aus technischen Datenblättern die relevanten Eigenschaften von Bauteilen.", "LN 2"
"b1.5", "Pflicht", "BE", "Sie entwickeln auf Grund des Konzepts die Schaltung.", "LN 5"
"b1.6", "Pflicht", "BFS", "Sie erarbeiten klassische Grundschaltungen.", "LN 4"
