"Code", "Beschreibung", "Detail"
"a1", "Anforderungen und Bedürfnisse an elektronische Hard- oder Softwareproblemstellungen erfassen und interpretieren", "Elektronikerinnen und Elektroniker erhalten den Auftrag für den Versuchsaufbau eines neuen Produkts mit elektronischen Komponenten und allenfalls der dazugehörenden Software. Die
dafür notwendigen Informationen holen sie sich mit offener Kommunikation und zielführender Fragetechnik bei Arbeitskolleginnen, Arbeitskollegen, externen Fachpersonen oder auch über
moderne Informations- und Kommunikationsmittel. Aus den gesammelten Informationen formulieren sie selbständig den konkreten Auftrag mit den entsprechenden Anforderungen, dies meist
in Form eines Pflichtenheftes. Sie bringen rechtzeitig in Erfahrung, welche Qualität gefordert ist und wie diese gemessen wird. Bei diesen Arbeiten berücksichtigen Sie nebst den technischen
Anforderungen und Rahmenbedingungen sowohl die gültigen Richtlinien und Normen als auch die wirtschaftlichen Aspekte. Beim Setzen von Prioritäten und Treffen von Entscheidungen
berücksichtigen sie zudem die Aspekte der Nachhaltigkeit mit der notwendigen Konsequenz. Elektronikerinnen und Elektroniker erarbeiten in veränderten oder neuen Situationen zielgerichtet
und konstruktiv Ideen und Konzepte, indem sie bereits Bekanntes und Neues miteinander verbinden. Überlegungen und Entscheidungen bereiten sie in geeigneter Form verständlich auf und
kommunizieren diese adressatengerecht. Bevor sie weitere Schritte unternehmen, lassen sie sich das Projekt im Rahmen des firmeninternen Prozesses freigeben. Sie sorgen auch dafür,
dass das Pflichtenheft bei allfälligen Änderungen oder Anpassungen aktuell gehalten wird."
"a2", "Ideen, Konzepte und Lösungen für elektronische Hard- oder Softwareproblemstellungen entwickeln", "Elektronikerinnen und Elektroniker entwickeln Ideen, Konzepte oder Lösungen für elektronische Hardware- und Software Problemstellungen. In einem ersten Schritt sammeln sie mit Hilfe von
Kreativitätsmethoden Ideen und formen daraus verschiedene Konzepte und Lösungen, welche sie in den Entwicklungsunterlagen dokumentieren. Die verschiedenen Varianten von Konzepten
und Lösungen bewerten sie mit einer geeigneten Entscheidungstechnik im Team. Sie begründen die gewählte Lösung und halten sie schriftlich fest. Bei der Erarbeitung von Ideen, Konzepten
oder Lösungen berücksichtigen sie Faktoren wie Kosten, Langlebigkeit, Reparierbarkeit, Recyclierbarkeit, Energieeffizienz (Ecodesign). So wählen sie zum Beispiel geeignete Komponenten
und Produktions- oder Fertigungs Mittel und -Prozesse. Allenfalls muss noch eine grundsätzliche Makeorbuy Entscheidung getroffen werden, welche sie im Team erarbeiten. Bei herausfordernden
Entwicklungsaufgaben ist vieles unbekannt und oft fehlt Elektronikerinnen und Elektronikern spezifisches Fachwissen. Aus diesem Grund ist es wichtig, dass sie punktuell mit internen
oder externen Fachpersonen zusammenarbeiten. Durch geschicktes Fragen holen sie proaktiv die nötigen Informationen ab und delegieren wo nötig und sinnvoll Aufgaben."
"a3", "Die Machbarkeit von Ideen oder Aufträgen für elektronische Hard- oder Softwarelösungen abklären", "Elektronikerinnen und Elektroniker erhalten von einer Entwicklerin oder einem Entwickler Ideen Skizzen für relevante Teilfunktionen, für welche sie die Machbarkeit abzuklären haben. Die
Entwicklerin oder der Entwickler erklärt ihnen das Funktionsprinzip und gibt weitere wichtige Informationen. Sie überlegen, wie sie die Ideen oder Konzepte anhand von Versuchsanordnungen
überprüfen können. Sie führen diese Versuche durch und dokumentieren die Resultate und Erkenntnisse, welche sie mit den Entwicklerinnen / dem Entwickler besprechen, um das weitere
Vorgehen festzulegen. Dazu gehören auch Abklärungen, ob auf dem Markt schon Lösungen in Form von integrierten Schaltungen oder Software-Komponenten angeboten werden. Zu diesem
Zweck studieren sie die meist englischsprachigen Internetseiten von Herstellern oder entsprechende Datenblätter. Des Weiteren sind erste grobe Abschätzungen zu machen, ob die
Anforderungen aus dem Pflichtenheft erfüllt werden können."
"b1", "Elektronische Schaltungen dimensionieren und das Schema entwickeln", "Elektronikerinnen und Elektroniker dimensionieren und evaluieren Komponenten entsprechend den Anforderungen an die Schaltung und zeichnen dazu ein übersichtliches Schema in einem
CAD-Tool mit den normgerechten Symbolen und Bezeichnungen. Sie erhalten von der Entwicklerin / vom Entwickler den Entwurf für eine elektronische Schaltung, zusammen mit den entsprechenden
Anforderungen. Sie berechnen die nötigen Werte der analogen oder digitalen Komponenten, um die Anforderungen an die Funktion, die Stromstärke, die Wärmeentwicklung
oder andere Parameter zu erfüllen. Auf Grund der Berechnungen wählen sie im Markt erhältliche Komponenten aus. Sind alle Bauteile bestimmt, zeichnen sie mit Hilfe eines CAD-Tool ein
übersichtliches Schema. Dabei beachten sie die Einhaltung der geltenden Normen und internen Richtlinien. Wenn nötig teilen sie das Schema nach Funktionen in verschiedene Untergruppen
und stellen es übersichtlich dar. Leitungen und Signale werden korrekt und möglichst selbsterklärend beschriftet. Die Symbole entnehmen sie der internen Bibliothek oder erstellen diese bei
Bedarf neu und integrieren sie in die Bibliothek. Bei Fragen oder Problemen wenden sie sich mit konkreten und fachlich korrekt formulierten Anliegen an die zuständige Entwicklerin / den
zuständigen Entwickler. Mit ihr / ihm zusammen suchen sie nach Lösungen und nehmen wo nötig Anpassungen vor und dokumentieren diese."
"b2", "Das Layout für Leiterplatten entwickeln und die Fertigungsunterlagen erstellen", "Elektronikerinnen und Elektroniker erstellen aus einem gegebenen oder selbst entwickelten Schema das Layout für eine Leiterplatte. Dabei sorgen sie dafür, dass die Projekt Anforderungen
eingehalten und auch wirtschaftliche Überlegungen berücksichtigt werden. Sie zeichnen auf Grund des von der Entwicklerin / dem Entwickler freigegebenen Schemas mit einem CAD-Tool die
Leiterplatte. Die Komponenten platzieren sie so, dass die mechanischen Anforderungen erfüllt und auch die elektronischen Eigenheiten beachtet sind. Dazu müssen sie auch Angaben aus
den jeweiligen, meist in englischer Sprache verfassten Datenblättern berücksichtigen. Sie verbinden die Bauteile, indem sie die Leiterbahnen mit dem CAD-Tool zeichnen und dabei zum
Beispiel die zu erwartenden Ströme, gegenseitige Beeinflussungen der Signale beachten. Die mechanischen Bauteileigenschaften entnehmen sie der internen Bibliothek oder erstellen diese
bei Bedarf neu und integrieren sie in die Bibliothek. Beim Erstellen des Layouts halten sie Design Regeln ein und berücksichtigen die relevanten Rahmenbedingungen der Hersteller der
Leiterplatte, der Bauteile und der Funktion der Schaltung. Fragen oder Probleme diskutieren sie offen mit der Entwicklerin / dem Entwickler und suchen gemeinsam nach Lösungen. Sind
Änderungen nötig, setzen sie diese um und halten die Dokumentation auf dem aktuellsten Stand. Abschliessend generieren sie mit dem CAD-Tool die Produktionsdaten unter Einhaltung der
Vorgaben des Herstellers und legen diese am dafür vorgesehenen Ort ab."
"b3", "Leiterplatten und Baugruppen fertigen", "Elektronikerinnen und Elektroniker bestücken Leiterplatten für Einzelstücke oder Kleinstserien, montieren diese gemäss Auftrag in die dafür vorgesehene Baugruppe und nehmen die elektrischen
Verbindungen vor. Zuerst beschaffen sie die Komponenten wie Leiterplatten oder Bauteile gemäss der Stückliste selbst, über den internen Einkauf, oder auch ab internem Lager. Bei
der Planung der Arbeiten berücksichtigen sie die Lieferzeiten der Komponenten. Komponenten von Einzelstücken oder sehr kleinen Serien löten sie von Hand auf die Leiterplatte. Sie arbeiten
stets konzentriert und präzise, setzen Hilfsmittel gezielt für die zum Teil nur wenige Millimeter grossen Bauteile ein. Sie achten darauf, die Leiterplatte oder Komponenten nicht zu beschädigen
und schützen auch sich selbst durch geeignete Massnahmen vor den Lötdämpfen. Mit den Arbeits- und Hilfsmitteln gehen sie sorgfältig um. Müssen beim Fertigen von Leiterplatten Anpassungen
vorgenommen werden, führen sie diese nach Rücksprache mit dem zuständigen Auftraggeber aus und dokumentieren die Änderungen in den Unterlagen. Nach Abschluss der Arbeit
führen sie eine optische Kontrolle der Lötarbeit durch und verlassen den Arbeitsplatz aufgeräumt und sauber. Gefertigte Leiterplatten oder Baugruppen lagern sie fachgerecht. Abfälle führen
sie einer Wiederverwertung zu oder entsorgen sie umweltgerecht."
"b4", "Schaltungen in Betrieb nehmen, ausmessen und Fehler beheben", "Um die Funktion einer Schaltung zu dokumentieren oder Fehler einzugrenzen respektive finden zu können, führen Elektronikerinnen und Elektroniker systematische Messungen mit geeigneten
Messmitteln durch. Um die Messungen machen zu können, muss die Schaltung in Betrieb genommen werden. Dabei achten sie auf die Arbeitssicherheit und den Schutz der Schaltung.
Bei neu aufgebauten Prototypen einer elektronischen Schaltung muss das Einhalten der Vorgaben gemäss Pflichtenheft dokumentiert werden. Für die Planung der Messungen nehmen
Elektronikerinnen und Elektroniker das Schema sowie weitere Unterlagen der Schaltung zur Hand und legen die Messpunkte fest. Sie machen sich Überlegungen zum erwarteten Messresultat
und erstellen eine Messmittelliste. Als Messmittel dienen u.a. Geräte wie das Multimeter oder das Oszilloskop. Durch die richtige Wahl der Messmittel und Messpunkte stellen sie sicher,
dass weder die Schaltung beschädigt noch das Resultat verfälscht wird und die Messung in der geforderten Genauigkeit durchgeführt werden kann. Sie dokumentieren alle Messungen und
Resultate. Stellen sie im Laufe der Messungen Fehler fest, gehen sie diesen systematisch und geduldig auf den Grund. Haben sie die Ursachen gefunden, beheben sie die Fehler, das allenfalls
nach Rücksprache mit der zuständigen Entwicklerin / dem zuständigen Entwickler. Dann wiederholen sie die Messungen und führen alle Änderungen in den Entwicklungsunterlagen
nach." 
"b5", "Die Anforderungen an die Schaltung überprüfen", "Elektronikerinnen und Elektroniker überprüfen die Entwicklungsergebnisse bei den einzelnen Teilschritten laufend und halten die Resultate schriftlich fest. Dabei beachten sie das Pflichtenheft
mit den Anforderungen und Spezifikationen zur Funktion einer neuen Schaltung. So führen Elektronikerinnen und Elektroniker im Laufe der Entwicklung einer Schaltung immer wieder
Messungen und Kontrollen durch und dokumentieren diese. Damit stellen sie sicher, dass sich Messergebnisse mit den Anforderungen im Pflichtenheft decken. Ist das nicht der Fall, halten
sie Rücksprache mit der Entwicklerin / dem Entwickler und präsentieren überlegte Lösungsansätze. Das Beschlossene wird in den Entwicklungsunterlagen schriftlich festgehalten. Am Ende
des Entwicklungsprozesses führen sie nochmals alle nötigen Messungen und Versuche durch. Die Resultate halten sie als Nachweis in den Entwicklungsunterlagen fest."
"b6", "Elektronische Baugruppen in Betrieb nehmen", "Elektronikerinnen und Elektroniker nehmen Baugruppen und Geräte unter Einhaltung der Sicherheitsvorschriften in Betrieb. Dazu studieren sie vorgängig die Unterlagen und befolgen die
entsprechenden Vorgaben oder sie bestimmen selbständig ein sinnvolles schrittweises Vorgehen. In beiden Fällen erstellen sie ein Inbetriebnahme Protokoll, mit dem alle Schritte der Inbetriebnahme
nachvollzogen werden können. Stellen sie im Laufe der Inbetriebnahme Abweichungen zwischen Soll und Ist fest, benennen sie erste Vermutungen zur Ursache des Problems
und unterbreiten Vorschläge zu dessen Behebung. Bei der Inbetriebnahme führen sie die gemäss Inbetriebnahme Protokoll verlangten Parametrierungen, Manipulationen und Messungen
durch, deren Resultate fortlaufend im Protokoll festgehalten werden. Für eine sichere und aussagekräftige Inbetriebnahme halten sie die Schritte genau ein und arbeiten sorgfältig. Elektronikerinnen
und Elektroniker klären vorgängig ihre Kompetenzen und holen sich wo nötig Unterstützung bei der zuständigen Fachperson. Sie beenden die Inbetriebnahme, indem sie das Inbetriebnahme
Protokoll gemäss den internen Vorgaben abschliessen und den Auftraggebenden sachlich über das Resultat der Inbetriebnahme und allfälliger weiterer Schritte informieren."
"b7", "Frontplatten, Gehäuse oder einfache mechanische Bauteile mechanisch bearbeiten oder fertigen", "Elektronikerinnen und Elektroniker stellen für Prototypen oder Kleinstserien einfache Bauteile wie Gehäuse, Frontplatten, Bedienelemente oder Befestigungen her oder bearbeiten diese
gemäss Zeichnung unter Einhaltung aller firmenspezifischen Sicherheitsmassnahmen. Werden sie beauftragt, einen Prototyp für ein neues Produkt zu fertigen, greifen sie auf ein käufliches
Standardgehäuse zurück. Sie führen gemäss den Fertigungszeichnungen in den Unterlagen des Prototyps unter Berücksichtigung der Arbeitssicherheit einfache Bearbeitungsschritte wie
Bohren oder Sägen durch. Dies beispielsweise für Löcher, damit Anzeige- oder Bedienelemente montiert werden können. Sie verlassen den Arbeitsplatz sauber aufgeräumt und entsorgen die
Abfälle umweltgerecht. Nach der Bearbeitung kontrollieren sie dessen Qualität, indem sie die Kontrollmasse mit dem Auftrag vergleichen. Sie verlassen die Fertigungsanlage und den Arbeitsplatz
aufgeräumt und retabliert. Kann ein Auftrag nicht gemäss Zeichnung umgesetzt werden, überlegen und skizzieren sie von Hand mögliche Lösungen und präsentieren diese der zuständigen
Entwicklerin / dem zuständigen Entwickler, um gemeinsam das weitere Vorgehen zu beschliessen. Änderungen und Anpassungen werden in den Fertigungsunterlagen sauber und
gemäss internen Richtlinien nachgetragen."
